"","Palavra","Dimensao","Media","DP"
"1","ABALADO","Valencia",2.58,1.81
"2","ABALADO","Ativacao",5.11,2.82
"3","ABANDONADO","Valencia",1.85,1.7
"4","ABANDONADO","Ativacao",5.48,2.49
"5","ABDUÇÃO","Valencia",5,1.85
"6","ABDUÇÃO","Ativacao",3.36,2.14
"7","ABELHAS","Valencia",4.58,2.45
"8","ABELHAS","Ativacao",4.38,2.83
"9","ABENÇOADO","Valencia",8.03,1.84
"10","ABENÇOADO","Ativacao",3.19,3.03
"11","ABORTO","Valencia",1.67,1.37
"12","ABORTO","Ativacao",6.42,2.93
"13","ABRAÇAR","Valencia",8.63,1.2
"14","ABRAÇAR","Ativacao",4.3,3.34
"15","ABRAÇO","Valencia",8.77,0.75
"16","ABRAÇO","Ativacao",3.38,3
"17","ABRASADOR","Valencia",5.43,1.91
"18","ABRASADOR","Ativacao",3.53,2.49
"19","ABRIGADO","Valencia",7.61,1.98
"20","ABRIGADO","Ativacao",3.21,2.41
"21","ABSURDO","Valencia",2.79,2.12
"22","ABSURDO","Ativacao",5.81,2.74
"23","ABUNDÂNCIA","Valencia",6.94,2.05
"24","ABUNDÂNCIA","Ativacao",4.19,2.48
"25","ABUSO","Valencia",2.76,2.65
"26","ABUSO","Ativacao",6.5,2.65
"27","ACALMAR","Valencia",7.23,1.81
"28","ACALMAR","Ativacao",2.68,2.05
"29","ACANHADO","Valencia",3.89,2.01
"30","ACANHADO","Ativacao",5.03,2.75
"31","ACASO","Valencia",6.17,2.1
"32","ACASO","Ativacao",4.28,2.48
"33","ACEITAÇÃO","Valencia",7.21,2.16
"34","ACEITAÇÃO","Ativacao",4.63,2.94
"35","ACIDENTE","Valencia",1.67,1.63
"36","ACIDENTE","Ativacao",6.98,3.02
"37","ACONCHEGANTE","Valencia",8.29,1.69
"38","ACONCHEGANTE","Ativacao",3.76,2.94
"39","ACONCHEGO","Valencia",8.4,1.01
"40","ACONCHEGO","Ativacao",2.68,2.67
"41","ACORDO","Valencia",6.89,2.01
"42","ACORDO","Ativacao",3.37,2.25
"43","AÇÚCAR","Valencia",7.04,1.71
"44","AÇÚCAR","Ativacao",3.91,2.58
"45","ADAGA","Valencia",4.32,2.3
"46","ADAGA","Ativacao",4.27,2.46
"47","ADMIRADO","Valencia",7.67,1.53
"48","ADMIRADO","Ativacao",4.49,2.82
"49","ADORÁVEL","Valencia",8.24,1.57
"50","ADORÁVEL","Ativacao",4,3.26
"51","ADULTO","Valencia",6.49,1.99
"52","ADULTO","Ativacao",3.75,2.46
"53","AFEIÇÃO","Valencia",7.82,1.9
"54","AFEIÇÃO","Ativacao",3.84,2.89
"55","AFINAR","Valencia",5.8,1.54
"56","AFINAR","Ativacao",3.65,2.09
"57","AFOGAR","Valencia",2.53,2.26
"58","AFOGAR","Ativacao",6.24,2.61
"59","AGILIDADE","Valencia",7.5,1.58
"60","AGILIDADE","Ativacao",5.33,2.84
"61","AGONIA","Valencia",2.05,1.97
"62","AGONIA","Ativacao",6.61,2.7
"63","AGRADÁVEL","Valencia",8.15,1.25
"64","AGRADÁVEL","Ativacao",3.18,2.49
"65","AGRADECIDO","Valencia",8.42,1.52
"66","AGRADECIDO","Ativacao",3.32,2.98
"67","AGRESSIVO","Valencia",1.89,1.66
"68","AGRESSIVO","Ativacao",6.67,2.99
"69","ÁGUA","Valencia",8.35,1.4
"70","ÁGUA","Ativacao",3,2.9
"71","AGULHA","Valencia",4.04,1.98
"72","AGULHA","Ativacao",4.93,2.54
"73","ALCOÓLICO","Valencia",2.76,2.84
"74","ALCOÓLICO","Ativacao",6.34,2.68
"75","ALEGRE","Valencia",8.44,1.07
"76","ALEGRE","Ativacao",4.04,2.97
"77","ALEGRIA","Valencia",8.61,1.46
"78","ALEGRIA","Ativacao",4.87,3.44
"79","ALERGIA","Valencia",4.02,3.31
"80","ALERGIA","Ativacao",5.2,3
"81","ALERTA","Valencia",6.08,2.42
"82","ALERTA","Ativacao",5.08,2.94
"83","ALERTO","Valencia",5.67,2.06
"84","ALERTO","Ativacao",4.95,2.64
"85","ALIMENTO","Valencia",8.26,1.27
"86","ALIMENTO","Ativacao",3.61,3.07
"87","ALVORECER","Valencia",6.24,2.38
"88","ALVORECER","Ativacao",3.09,2.22
"89","AMABILIDADE","Valencia",7.68,2.04
"90","AMABILIDADE","Ativacao",3.5,2.96
"91","AMADO","Valencia",8.31,1.39
"92","AMADO","Ativacao",3.49,3
"93","AMARELO","Valencia",6.76,2.29
"94","AMARELO","Ativacao",3.11,2.38
"95","AMÁVEL","Valencia",8.09,1.6
"96","AMÁVEL","Ativacao",3.4,2.88
"97","AMBIÇÃO","Valencia",5,3.08
"98","AMBIÇÃO","Ativacao",5.92,3
"99","AMBULÂNCIA","Valencia",2.47,2.28
"100","AMBULÂNCIA","Ativacao",6.3,3
"101","AMEAÇA","Valencia",1.87,1.68
