"","Palavra","Dimensao","Media","DP"
"1","ABALADO","Ativacao",5.11,2.82
"2","ABANDONADO","Ativacao",5.48,2.49
"3","ABDUÇÃO","Ativacao",3.36,2.14
"4","ABELHAS","Ativacao",4.38,2.83
"5","ABENÇOADO","Ativacao",3.19,3.03
"6","ABORTO","Ativacao",6.42,2.93
"7","ABRAÇAR","Ativacao",4.3,3.34
"8","ABRAÇO","Ativacao",3.38,3
"9","ABRASADOR","Ativacao",3.53,2.49
"10","ABRIGADO","Ativacao",3.21,2.41
"11","ABSURDO","Ativacao",5.81,2.74
"12","ABUNDÂNCIA","Ativacao",4.19,2.48
"13","ABUSO","Ativacao",6.5,2.65
"14","ACALMAR","Ativacao",2.68,2.05
"15","ACANHADO","Ativacao",5.03,2.75
"16","ACASO","Ativacao",4.28,2.48
"17","ACEITAÇÃO","Ativacao",4.63,2.94
"18","ACIDENTE","Ativacao",6.98,3.02
"19","ACONCHEGANTE","Ativacao",3.76,2.94
"20","ACONCHEGO","Ativacao",2.68,2.67
"21","ACORDO","Ativacao",3.37,2.25
"22","AÇÚCAR","Ativacao",3.91,2.58
"23","ADAGA","Ativacao",4.27,2.46
"24","ADMIRADO","Ativacao",4.49,2.82
"25","ADORÁVEL","Ativacao",4,3.26
"26","ADULTO","Ativacao",3.75,2.46
"27","AFEIÇÃO","Ativacao",3.84,2.89
"28","AFINAR","Ativacao",3.65,2.09
"29","AFOGAR","Ativacao",6.24,2.61
"30","AGILIDADE","Ativacao",5.33,2.84
"31","AGONIA","Ativacao",6.61,2.7
"32","AGRADÁVEL","Ativacao",3.18,2.49
"33","AGRADECIDO","Ativacao",3.32,2.98
"34","AGRESSIVO","Ativacao",6.67,2.99
"35","ÁGUA","Ativacao",3,2.9
"36","AGULHA","Ativacao",4.93,2.54
"37","ALCOÓLICO","Ativacao",6.34,2.68
"38","ALEGRE","Ativacao",4.04,2.97
"39","ALEGRIA","Ativacao",4.87,3.44
"40","ALERGIA","Ativacao",5.2,3
"41","ALERTA","Ativacao",5.08,2.94
"42","ALERTO","Ativacao",4.95,2.64
"43","ALIMENTO","Ativacao",3.61,3.07
"44","ALVORECER","Ativacao",3.09,2.22
"45","AMABILIDADE","Ativacao",3.5,2.96
"46","AMADO","Ativacao",3.49,3
"47","AMARELO","Ativacao",3.11,2.38
"48","AMÁVEL","Ativacao",3.4,2.88
"49","AMBIÇÃO","Ativacao",5.92,3
"50","AMBULÂNCIA","Ativacao",6.3,3
"51","AMEAÇA","Ativacao",6.71,2.73
"52","AMIGÁVEL","Ativacao",3.36,2.93
"53","AMIGO","Ativacao",3.68,3.24
"54","AMOR","Ativacao",4.39,3.57
